茶饮名称,类型,子类型,组合成分,特点/功效,适用场景
乌龙白茶,茶+茶,内部联姻,乌龙茶（铁观音/大红袍）+白茶（白牡丹/寿眉）,融合乌龙茶高扬香气与白茶清甜鲜爽口感,日常品饮
红茶普洱,茶+茶,内部联姻,祁门红茶+云南普洱熟茶,甜醇与陈香交织，温润厚实,秋冬品饮
茉莉乌龙,茶+茶,内部联姻,茉莉绿茶+冻顶乌龙,鲜灵花香与乌龙韵味叠加,下午茶
绿茶白茶,茶+茶,内部联姻,龙井绿茶+白毫银针,清鲜甘甜双重体验,夏季消暑
茶咖拿铁,茶+非茶,茶+咖啡,浓缩咖啡+乌龙茶底+牛奶,提神与茶香融合，降低甜腻感,通勤消费
抹茶拿铁,茶+非茶,茶+咖啡,抹茶粉+浓缩咖啡+牛奶,浓郁绿茶风味与咖啡因双重醒脑,早餐搭配
桂花红茶,茶+非茶,茶+花,红茶+桂花窨制,香气辨识度高暖胃舒缓,女性用户偏好
茉莉玫瑰茶,茶+非茶,茶+花,绿茶坯+茉莉花+玫瑰花,花香叠加美容养颜,休闲放松
陈皮普洱,茶+非茶,茶+药食,新会陈皮+熟普洱,陈香药香突出温润助消化,秋冬养生
枸杞红茶,茶+非茶,茶+药食,红茶+枸杞+红枣,滋补温和护肝明目,办公茶饮
蜜桃乌龙,茶+非茶,茶+水果,乌龙茶+蜜桃风味,清新果香适口性强年轻群体喜爱,新式茶饮
柠檬绿茶,茶+非茶,茶+水果,绿茶+新鲜柠檬,酸甜清爽富含维C,夏季冰饮
气泡乌龙,茶+跨界,茶+气泡,冷萃乌龙+食用级CO2充气,碳酸口感清凉解腻零糖,运动后解渴
茶味啤酒,茶+跨界,茶+酒,龙井茶提取物+精酿啤酒,麦芽香与茶韵融合微醺微苦,社交场景
茶冰淇淋,茶+跨界,茶+甜品,抹茶/焙茶粉+冰淇淋基底,浓郁茶味与奶香交融,甜品时光
茶巧克力,茶+跨界,茶+甜品,普洱茶粉+黑巧克力,陈香可可双重醇厚抗氧化,伴手礼
燕麦奶乌龙,茶+跨界,茶+植物奶,冻顶乌龙+燕麦奶,植物基低负担乳糖不耐友好,素食主义者
椰奶红茶,茶+跨界,茶+植物奶,锡兰红茶+椰浆,热带风情椰香与红茶甜度完美平衡,夏日午后
